"sha1","company","filename","source","currency","industry"
"194000c9109c6fa628f1fed33b44ae4c2b8365f4","Holley Inc.","dev/Holley_Inc.pdf","dev(test_set)","USD","Automotive"
"2779336b845a41544348abb7b3e6e5bd2ff893a2","Tradition","dev/Tradition.pdf","dev(test_set)","CHF","Financial Services"
"9d7a72445aba6860402c3acce75af02dc045f74d","TSX_Y","dev/TSX_Y.pdf","dev(test_set)","USD","Media & Entertainment"
"ac9aa244462c80705c3ff046542c02c459989742","Mercia Asset Management PLC","dev/Mercia_Asset_Management_PLC.pdf","dev(test_set)","GBP","Financial Services"
"e2b19d2cc2ccab2fd9022326b56b38fb0e772e73","CrossFirst Bank","dev/CrossFirst_Bank.pdf","dev(test_set)","USD","Financial Services"
"053b7cb83115789346e2a9efc7e2e640851653ff","Global Medical REIT Inc.","dev/Global_Medical_REIT_Inc.pdf","dev(round2_samples)","",""
"3696c1b29566acc1eafc704ee5737fb3ae6f3d1d","Zegona Communications plc","dev/Zegona_Communications_plc.pdf","dev(round2_samples)","",""
"4b525836a5d7cb75489f6d93a3b1cf2b8f039bf2","TD SYNNEX","dev/TD_SYNNEX.pdf","dev(round2_samples)","",""
"d81bbc64a4160b9946fea7a895f80e6201f52f27","Air Products","dev/Air_Products.pdf","dev(round2_samples)","",""
"608c5097dfc6e83505fd2259ad862dcec11a3f96","Sandwell Aquatics Centre","dev/Sandwell_Aquatics_Centre.pdf","dev(round2_samples)","",""
"0279901b645e568591ad95dac2c2bf939ef0c00d","ACRES Commercial Realty Corp.","eval/ACRES_Commercial_Realty_Corp.pdf","eval(round2_final)","USD","Financial Services"
"0981826b4b43a88920f3e01c71ae73539bab84cc","Aptevo Therapeutics Inc.","eval/Aptevo_Therapeutics_Inc.pdf","eval(round2_final)","USD","Healthcare"
"0a61a353b1ea9fd9b8f63b60239634ca3007d58f","Downer EDI Limited","eval/Downer_EDI_Limited.pdf","eval(round2_final)","USD","Transport & Logistics"
"0c0faea14d108e1617f2d6d2a7c1aae04eb88fe0","Odyssey Gold Limited","eval/Odyssey_Gold_Limited.pdf","eval(round2_final)","USD","Pharmaceuticals"
"0f111d244aee3d976684995a222fa177a64571c4","NextNav Inc.","eval/NextNav_Inc.pdf","eval(round2_final)","USD","Technology"
"105688726e097505beef4934896193ac51295037","Peako Limited","eval/Peako_Limited.pdf","eval(round2_final)","USD","Technology"
"12bff07b957b1c8f8cad9d917ca18005720cce9b","Mosaic Brands Limited","eval/Mosaic_Brands_Limited.pdf","eval(round2_final)","USD","Retail"
"13999998018cc53440310d94a26d1e8957e2277f","Aurora Innovation, Inc.","eval/Aurora_Innovation_Inc.pdf","eval(round2_final)","USD","Technology"
"14fa568899745270c4ff2c10073f97f2c2e7764b","Crombie REIT","eval/Crombie_REIT.pdf","eval(round2_final)","USD","Retail"
"1a12ef3f11a64e92eeca39e493a17d2860c014a6","Medallion Financial Corp.","eval/Medallion_Financial_Corp.pdf","eval(round2_final)","USD","Financial Services"
"1ab89c81bdb49d4bfba2202eeb8e1c93bed414c7","Enact Holdings, Inc.","eval/Enact_Holdings_Inc.pdf","eval(round2_final)","USD","Financial Services"
"1af8f906e34af6e0acfe4f73e37093bbe34700f3","BetMakers Technology Group Ltd","eval/BetMakers_Technology_Group_Ltd.pdf","eval(round2_final)","USD","Technology"
"1bd670f9cdf088266db849722c3aded77a2f4894","OFX Group Limited","eval/OFX_Group_Limited.pdf","eval(round2_final)","USD","Financial Services"
"23b2c590c4887dfb86761730dd7156fe3b216ab7","FNCB Bancorp, Inc.","eval/FNCB_Bancorp_Inc.pdf","eval(round2_final)","USD","Financial Services"
"2cdfd39bbf896b0f6651ebb0fe697cdf8c7ef0e8","Celldex Therapeutics, Inc.","eval/Celldex_Therapeutics_Inc.pdf","eval(round2_final)","USD","Healthcare"
"2db41ba86cc015db1f5f7de00b764a06e6de3dcc","SIG plc","eval/SIG_plc.pdf","eval(round2_final)","GBP","Retail"
"2e315764be39701457b88c23f70c5ddede4b2453","Motability Operations Group plc","eval/Motability_Operations_Group_plc.pdf","eval(round2_final)","GBP","Transport & Logistics"
"2fd79ae4ebe4943384c119eb1d1e9286ba3c5074","BCB Bancorp, Inc.","eval/BCB_Bancorp_Inc.pdf","eval(round2_final)","USD","Financial Services"
"30f64d1043f4cb425eb636763580ae27094ffef1","1-800-FLOWERS.COM, INC.","eval/1-800-FLOWERS.COM_INC.pdf","eval(round2_final)","USD","Retail"
